asset_id,batch,category,name,state,format,aspect_or_size,transparent,drive_destination,runtime_destination,device_scope,status,drive_file_id,notes
BB-REF-001,REFERENCE,art-direction,Premium Asset Direction Sheet,reference,PNG,3:2,false,08 Visual Assets,,all,drive-saved,1XS7OnkQ9AXjO7Otz_bLEYQtm6MMI1SfV,Reference sheet only; do not ship as runtime art. Individual production assets must be generated and integrated separately.
BB-001-01,BB-001,battlefield,Master Garden Battlefield,base,PNG/WebP,1:1,false,08 Visual Assets/02 Battlefields/Player Garden,assets/battlefields/player-garden.webp,all,needed,,
BB-001-02,BB-001,battlefield,Opponent Garden Battlefield,base,PNG/WebP,1:1,false,08 Visual Assets/02 Battlefields/Opponent Garden,assets/battlefields/opponent-garden.webp,all,needed,,
BB-001-03,BB-001,layout,Desktop Dual Board Composition,reference,PNG,16:9,false,08 Visual Assets/02 Battlefields/Desktop,docs/reference/burn-buds-desktop-dual-board.png,desktop,needed,,
BB-001-04,BB-001,layout,Tablet Battle Composition,reference,PNG,4:3,false,08 Visual Assets/02 Battlefields/Tablet,docs/reference/burn-buds-tablet.png,tablet,needed,,
BB-001-05,BB-001,layout,Phone Single Board Composition,reference,PNG,9:16,false,08 Visual Assets/02 Battlefields/Mobile,docs/reference/burn-buds-phone.png,phone,needed,,
BB-001-06,BB-001,battlefield,Enemy Fog Treatment,overlay,PNG/WebP,1:1,true,08 Visual Assets/02 Battlefields/Opponent Garden,assets/battlefields/enemy-fog.webp,all,needed,,
BB-001-07,BB-001,battlefield,Grid Soil Texture,tile,PNG/WebP,1:1,false,08 Visual Assets/02 Battlefields,assets/battlefields/grid-soil.webp,all,needed,,
BB-001-08,BB-001,battlefield,Scorched Grid Texture,tile,PNG/WebP,1:1,false,08 Visual Assets/02 Battlefields,assets/battlefields/grid-scorched.webp,all,needed,,
BB-001-09,BB-001,scene,Finished Gameplay Key Scene,reference,PNG,16:9,false,08 Visual Assets/02 Battlefields/Desktop,docs/reference/burn-buds-gameplay-key-scene.png,desktop,needed,,
BB-001-10,BB-001,scene,Lobby Battle Table Scene,base,PNG/WebP,16:9,false,08 Visual Assets/07 Lobby Multiplayer,assets/lobby/lobby-battle-table.webp,all,needed,,
BB-002-01,BB-002,formation,Mother Row,intact,PNG/WebP,variable,true,08 Visual Assets/03 Formations/Mother Row,assets/formations/mother-row.webp,all,needed,,
BB-002-02,BB-002,formation,Trellis Row,intact,PNG/WebP,variable,true,08 Visual Assets/03 Formations/Trellis Row,assets/formations/trellis-row.webp,all,needed,,
BB-002-03,BB-002,formation,Tall Pheno,intact,PNG/WebP,variable,true,08 Visual Assets/03 Formations/Tall Pheno,assets/formations/tall-pheno.webp,all,needed,,
BB-002-04,BB-002,formation,Bushy Pheno,intact,PNG/WebP,variable,true,08 Visual Assets/03 Formations/Bushy Pheno,assets/formations/bushy-pheno.webp,all,needed,,
BB-002-05,BB-002,formation,Solo Pots,intact,PNG/WebP,variable,true,08 Visual Assets/03 Formations/Solo Pots,assets/formations/solo-pots.webp,all,needed,,
BB-003-01,BB-003,fx,Target Reticle,aim,SVG/PNG,1:1,true,08 Visual Assets/05 Combat FX,assets/fx/target-reticle.svg,all,needed,,
BB-003-02,BB-003,fx,Target Lock,lock,SVG/PNG,1:1,true,08 Visual Assets/05 Combat FX,assets/fx/target-lock.svg,all,needed,,
BB-003-03,BB-003,fx,Hit Burst,impact,PNG/WebP,1:1,true,08 Visual Assets/05 Combat FX,assets/fx/hit-burst.webp,all,needed,,
BB-003-04,BB-003,fx,Miss Puff,miss,PNG/WebP,1:1,true,08 Visual Assets/05 Combat FX,assets/fx/miss-puff.webp,all,needed,,
BB-003-05,BB-003,fx,Smoke Loop,burn,WebP/APNG,1:1,true,08 Visual Assets/05 Combat FX,assets/fx/smoke-loop.webp,all,needed,,
BB-003-06,BB-003,fx,Ember Loop,burn,WebP/APNG,1:1,true,08 Visual Assets/05 Combat FX,assets/fx/embers.webp,all,needed,,
BB-006-01,BB-006,lobby,Host Battle Panel,ui,SVG/PNG,variable,true,08 Visual Assets/07 Lobby Multiplayer,assets/ui/host-battle-frame.svg,all,needed,,
BB-006-02,BB-006,lobby,Join Battle Panel,ui,SVG/PNG,variable,true,08 Visual Assets/07 Lobby Multiplayer,assets/ui/join-battle-frame.svg,all,needed,,
BB-006-03,BB-006,lobby,Waiting Room Player Slot,ui,SVG/PNG,variable,true,08 Visual Assets/07 Lobby Multiplayer,assets/ui/player-slot.svg,all,needed,,
BB-007-01,BB-007,result,Victory Garden,result,PNG/WebP,16:9,false,08 Visual Assets/08 Results/Victory,assets/results/victory-garden.webp,all,needed,,
BB-007-02,BB-007,result,Burnout Defeat,result,PNG/WebP,16:9,false,08 Visual Assets/08 Results/Defeat,assets/results/burnout-defeat.webp,all,needed,,
BB-008-01,BB-008,branding,Burn Buds Primary Logo,brand,SVG/PNG,wide,true,08 Visual Assets/01 Branding/Logo,assets/branding/burn-buds-logo.svg,all,needed,,
BB-008-02,BB-008,branding,Game Hub Cover,marketing,PNG/WebP,16:9,false,08 Visual Assets/12 Marketing,assets/branding/burn-buds-cover.webp,all,needed,,
BB-008-03,BB-008,branding,Mobile Game Cover,marketing,PNG/WebP,4:5,false,08 Visual Assets/12 Marketing,assets/branding/burn-buds-mobile-cover.webp,phone,needed,,
